"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","PN"
"C1,C2","2","4.7u","","","","Capacitor_SMD:C_0805_2012Metric","~","GRM21BZ71H475ME15K"
"C3,C4,C9,C12","4","0.1u","","","","Capacitor_SMD:C_1206_3216Metric","~","CL31B104KEHSFNE"
"C5,C6,C7,C8,C10,C11","6","10000u","","","","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn","~","EKMH500VSN103MA40U"
"C13","1",".1u","","","","Capacitor_SMD:C_0402_1005Metric","~","GCM155R71H104KE02J"
"C14,C15","2","10u","","","","Capacitor_SMD:CP_Elec_5x5.3","~","UCD1H100MCL6GS"
"D1,D2","2","GBU8B","","","","Diode_THT:Diode_Bridge_Vishay_GBU","http://www.vishay.com/docs/88656/gbu8a.pdf","GBU8B"
"D3","1","LED","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~",""
"FL1,FL2","2","Choke_Schaffner_RN102-2-02-1M1","","","","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/","RN102-2-02-1M1"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_4.3mm_M4_Pad_TopBottom","~",""
"J1","1","Conn_Coaxial_x2","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"J2","1","Conn_01x05","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~",""
"J3","1","Conn_01x02_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~",""
"J4,J5,J6,J7","4","Conn_01x01_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~",""
"R1,R2","2","1M","","","","Resistor_SMD:R_2512_6332Metric","~","CHV2512-FX-1004ELF"
"R3","1","1500","","","","Resistor_SMD:R_0603_1608Metric","~","CRCW06031K50FKEAC"
"RV1,RV2","2","levelCal","","","","Potentiometer_THT:Potentiometer_Bourns_3009P_Horizontal","~","3009P-1-104LF"
"RV3,RV4","2","volAdjust","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","PDB181-E420F-103B1"
"SW1","1","SW_SPST","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~",""
"TP1","1","in_preCal_L","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~",""
"TP2","1","in_preCal_R","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~",""
"TP3","1","in_postCal_L+","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP4","1","in_postCal_R+","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP5","1","in_postCal_L-","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP6","1","in_postCal_R-","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP7","1","dc-","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~",""
"TP8","1","gnd","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~",""
"TP9","1","dc+","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~",""
"TP10","1","amp_in_L","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"TP11","1","amp_in_R","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"U1","1","LM7812_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF",""
